id,naziv,opis,kontakt
1,Ivšić d.o.o.,Međunarodna dostava s praćenjem pošiljke.,074 744 325 / hpikec@example.com
2,Horvatinec j.d.o.o.,Osigurana dostava vrijednosnih pošiljki.,032 696 371 / niksa51@example.net
3,Balinčić j.d.o.o.,Dostava isti dan za odabrane lokacije.,044 018 711 / emarkovic@example.com
4,Barnaba Maržić d.o.o.,Povoljna dostava za poslovne korisnike.,099 2254 379 / brunomatkovic@example.org
5,Štefanec j.d.o.o.,Ekološki prihvatljiva dostava biciklima u centru grada.,042 008 233 / marina32@example.com
6,Fabijanić j.d.o.o.,Brza i pouzdana dostava unutar Hrvatske.,048 798 822 / vjakopec@example.net
7,Drandić Maržić j.d.o.o.,Međunarodna dostava s praćenjem pošiljke.,032 315 729 / vesnazivkovic@example.com
8,Trgovčić d.o.o.,Brza i pouzdana dostava unutar Hrvatske.,01 3453 420 / madunicveronika@example.com
9,Pikec Gudelj d.o.o.,Ekspresna dostava za grad Zagreb i okolicu.,033 071 497 / vsmolic@example.org
10,Filipović d.o.o.,Povoljna dostava za poslovne korisnike.,044 135 023 / josipa38@example.com
